Male,Graduate,Honours (Special),3.92,Physical,Kegalle,1.28,Second,C,No,Yes,Yes,Yes,No,No,"Below 20,000.00",Below O/L,Hostel,Above 75%,With your friend,Individual,During the study leave period,Daily,During the study leave period,No,Yes,Yes
Male,Graduate,General,3.28,Physical,Kaluthara,1.244,Third,W,No,No,No,No,No,Yes,"Above 100,000.00",Diploma or Below a degree,Hostel,Between 50% - 75%,With your friend,Individual,During the study leave period,Closer to the exam,During the study leave period,No,Yes,Yes
Female,Final Year Student,General,3.4,Physical,Matara,0.9562,First,C,Yes,No,No,No,No,Yes,"Between 50,000.00 to 100,000.00",Diploma or Below a degree,Boarding Place,Above 75%,Individual,Individual,During the study leave period,Closer to the exam,Weekly,Yes,Yes,Yes
Male,Final Year Student,General,3.1,Physical,Colombo,1.1,Second,A,Yes,No,Yes,Yes,No,Yes,"Between 50,000.00 to 100,000.00",Bachelors Degree,Boarding Place,Between 50% - 75%,As a group,Individual,Rarely,Weekly,Rarely,No,Yes,Yes
Male,Final Year Student,General,2.9,Physical,Matara,1,Second,B,No,No,Yes,Yes,No,Yes,"Between 50,000.00 to 100,000.00",A/L Passed,Hostel,Above 75%,With your friend,With your friend,During the study leave period,Daily,Rarely,Yes,Yes,Yes
Female,Graduate,Honours (Special),3.81,Physical,Gampaha,1.2,Second,A,No,No,No,No,No,No,"Above 100,000.00",A/L Passed,Boarding Place,Above 75%,As a group,With your friend,During the study leave period,Weekly,During the study leave period,Yes,Yes,Yes
Male,Final Year Student,General,2.7,Physical,Gampaha,0.98,First,S,Yes,Yes,Yes,Yes,No,Yes,"Between 50,000.00 to 100,000.00",A/L Passed,Home,Above 75%,As a group,As a group,During the study leave period,Closer to the exam,Rarely,No,Yes,Yes
Male,Graduate,General,2.81,Physical,Colombo ,1.04,Second,C,No,Yes,No,No,No,No,"Between 50,000.00 to 100,000.00",O/L Passed,Home,Above 75%,With your friend,Individual,During the study leave period,Weekly,Rarely,Yes,Yes,Yes
Female,Graduate,Honours (Special),3.8,Physical,Kegalle,1.3192,Second,S,Yes,Yes,Yes,No,Yes,No,"Between 20,000.00 to 50,000.00",A/L Passed,Boarding Place,Between 50% - 75%,As a group,Individual,During the study leave period,Closer to the exam,Rarely,Yes,Yes,Yes
Male,Graduate,General,3.2,Physical,Kegalle,1.3811,Second,S,Yes,Yes,Yes,Yes,No,No,"Between 20,000.00 to 50,000.00",Bachelors Degree,Boarding Place,Above 75%,As a group,Individual,Weekly,Weekly,Rarely,No,Yes,Yes
Female,Graduate,General,3.5,Physical,Gampaha,1.3822,Second,B,Yes,No,No,No,No,No,"Between 20,000.00 to 50,000.00",A/L Passed,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Daily,During the study leave period,No,No,No
Female,Graduate,Honours (Special),3.6,Biological,Gampaha,1.15,First,C,No,No,No,No,No,No,"Between 20,000.00 to 50,000.00",A/L Passed,Boarding Place,Above 75%,Individual,Individual,During the study leave period,Closer to the exam,Rarely,No,Yes,No
Male,Graduate,General,3.14,Biological,Colombo ,1.1,First,A,No,No,Yes,Yes,No,Yes,"Between 50,000.00 to 100,000.00",A/L Passed,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,During the study leave period,No,Yes,Yes
Female,Graduate,Honours (Special),3.2,Physical,Colombo,1.2,Second,B,Yes,Yes,Yes,Yes,No,No,"Between 20,000.00 to 50,000.00",Below O/L,Boarding Place,Above 75%,Individual,Individual,During the study leave period,Closer to the exam,Rarely,Yes,Yes,Yes
Male,Graduate,General,2.1,Biological,Hambantota,1.5468,Third,S,No,No,No,No,No,No,"Between 20,000.00 to 50,000.00",O/L Passed,Hostel,Below 25%,With your friend,Individual,During the study leave period,Rarely,Rarely,Yes,Yes,No
Male,Graduate,General,2.7,Physical,Galle ,1.14,Second,C,No,No,Yes,Yes,No,No,"Between 20,000.00 to 50,000.00",,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,During the study leave period,No,Yes,Yes
Male,Graduate,General,3.24,Physical,Colombo,9.65,Second,C,Yes,No,Yes,No,Yes,Yes,"Between 20,000.00 to 50,000.00",A/L Passed,Home,Between 50% - 75%,Individual,Individual,During the study leave period,Weekly,Rarely,Yes,Yes,Yes
Female,Graduate,General,3.61,Physical,Colombo ,1.0119,Second,A,No,No,Yes,No,No,Yes,"Between 50,000.00 to 100,000.00",O/L Passed,Home,Between 25% - 50%,With your friend,With your friend,During the study leave period,Closer to the exam,During the study leave period,Yes,Yes,Yes
Male,Graduate,General,2.9,Physical,Kegalle ,1.1,Second,S,Yes,Yes,Yes,No,No,No,"Between 20,000.00 to 50,000.00",O/L Passed,Hostel,Below 25%,As a group,Individual,During the study leave period,Daily,During the study leave period,Yes,Yes,No
Male,Graduate,Honours (Special),3.7,Physical,Kaluthara,0.9,Second,C,Yes,No,Yes,Yes,No,Yes,"Above 100,000.00",Bachelors Degree,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,During the study leave period,No,Yes,Yes
Female,Graduate,Honours (Special),3.27,Biological,Kegalle,3.27,Third,C,Yes,Yes,No,No,No,No,"Between 50,000.00 to 100,000.00",A/L Passed,Boarding Place,Above 75%,Individual,Individual,During the study leave period,Closer to the exam,Rarely,No,Yes,No
Female,Graduate,Honours (Special),3.9,Physical,Colombo,1.218,Second,B,Yes,No,No,No,No,No,"Above 100,000.00",Bachelors Degree,Home,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,Rarely,No,Yes,Yes
Female,Final Year Student,General,3.3,Physical,Kurunegala,1.0251,Third,A,Yes,No,No,No,No,Yes,"Between 20,000.00 to 50,000.00",A/L Passed,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,Rarely,No,Yes,Yes
Male,Graduate,General,3.08,Physical,Gampaha,0.8,Second,A,Yes,Yes,No,No,No,No,"Below 20,000.00",Below O/L,Home,Above 75%,As a group,Individual,Rarely,Rarely,Rarely,No,No,No
Female,Final Year Student,Honours (Special),3.733,Physical,Kurunegala,1.1994,Second,A,Yes,No,No,No,No,No,"Between 50,000.00 to 100,000.00",A/L Passed,Boarding Place,Between 50% - 75%,Individual,Individual,During the study leave period,Closer to the exam,During the study leave period,No,Yes,Yes
Female,Graduate,Honours (Special),3.96,Physical,Gampaha,1.3199,First,C,Yes,Yes,Yes,No,No,No,"Above 100,000.00",Diploma or Below a degree,Home,Above 75%,Individual,Individual,During the study leave period,Closer to the exam,Rarely,No,Yes,Yes
Male,Final Year Student,General,3.17,Physical,Colombo,1.17,Third,C,Yes,Yes,No,Yes,Yes,No,"Between 20,000.00 to 50,000.00",Below O/L,Hostel,Above 75%,As a group,Individual,During the study leave period,Rarely,Rarely,Yes,Yes,No
Female,Final Year Student,Honours (Special),3.5,Biological,Kurunegala,1.414,Second,A,Yes,No,No,No,No,No,"Between 50,000.00 to 100,000.00",A/L Passed,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,During the study leave period,No,Yes,Yes
Female,Final Year Student,General,3.24,Physical,Gampaha,8.998,First,B,Yes,Yes,No,No,No,No,"Between 20,000.00 to 50,000.00",A/L Passed,Home,Above 75%,With your friend,Individual,Rarely,Daily,Rarely,Yes,Yes,Yes
Male,Graduate,General,3.3,Biological,Gampaha,1.393,Third,A,Yes,No,Yes,Yes,Yes,No,"Between 20,000.00 to 50,000.00",Diploma or Below a degree,Boarding Place,Above 75%,Individual,Individual,Weekly,Weekly,During the study leave period,No,Yes,Yes
Female,Final Year Student,General,3.12,Physical,Colombo,0.8986,First,A,Yes,Yes,No,No,No,No,"Above 100,000.00",A/L Passed,Boarding Place,Above 75%,With your friend,Individual,During the study leave period,Daily,Rarely,No,No,Yes
Male,Graduate,Honours (Special),3.6,Physical,Colombo,1.4,First,A,Yes,Yes,No,No,Yes,No,"Below 20,000.00",A/L Passed,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,Rarely,Yes,Yes,Yes
Male,Graduate,General,3.25,Physical,Galle,1.31,Second,A,Yes,No,Yes,No,No,Yes,"Between 20,000.00 to 50,000.00",Bachelors Degree,Boarding Place,Above 75%,With your friend,Individual,During the study leave period,Closer to the exam,Rarely,Yes,Yes,Yes
Male,Graduate,General,2.7,Physical,Colombo,1.415,Second,A,Yes,Yes,Yes,No,No,Yes,"Above 100,000.00",Doctoral Degree,Boarding Place,Above 75%,As a group,Individual,During the study leave period,Closer to the exam,Rarely,Yes,Yes,Yes
Male,Graduate,Honours (Special),3.5,Physical,Gampaha,0.936,Second,C,Yes,Yes,Yes,Yes,No,No,"Above 100,000.00",Bachelors Degree,Home,Above 75%,Individual,Individual,Daily,Daily,During the study leave period,No,Yes,Yes
Male,Graduate,General,2.8,Physical,Gampaha,1.32,Third,W,No,Yes,Yes,Yes,Yes,No,"Between 20,000.00 to 50,000.00",Bachelors Degree,Hostel,Between 50% - 75%,As a group,As a group,During the study leave period,Closer to the exam,During the study leave period,No,No,Yes
Male,Graduate,General,2.8,Physical,Gampaha,1.324,Third,W,No,Yes,Yes,Yes,Yes,No,"Between 20,000.00 to 50,000.00",Bachelors Degree,Hostel,Between 50% - 75%,As a group,As a group,During the study leave period,Closer to the exam,During the study leave period,No,No,Yes
Female,Graduate,Honours (Special),3.56,Physical,Gampaha,1.368,Third,B,No,No,No,No,No,Yes,"Between 20,000.00 to 50,000.00",O/L Passed,Home,Above 75%,As a group,As a group,During the study leave period,Closer to the exam,Rarely,No,Yes,Yes
Female,Graduate,General,3.64,Biological,Monaragala,1.1458,First,A,Yes,No,Yes,Yes,No,Yes,"Between 20,000.00 to 50,000.00",Bachelors Degree,Hostel,Between 50% - 75%,As a group,Individual,During the study leave period,Closer to the exam,During the study leave period,No,Yes,Yes
